cas,CharacteristicName
57-63-6,Ethinyl estradiol
57-88-5,Cholesterol
57-91-0,17.alpha.-Estradiol
57837-19-1,Metalaxyl
579-66-8,"2,6-Diethylaniline"
57966-95-7,Cymoxanil
58-08-2,Caffeine
58-55-9,Theophylline
58-73-1,"Ethanamine, 2-(diphenylmethoxy)-N,N-dimethyl-"
58-89-9,gamma-HCH (Lindane)
581-42-0,"2,6-Dimethylnaphthalene"
584-79-2,Allethrin
59-05-2,Methotrexate
59-50-7,p-Chloro-m-cresol
5902-51-2,Terbacil
5915-41-3,Terbuthylazine
59277-89-3,Acyclovir
59729-33-8,Citalopram
59756-60-4,Fluridone
5989-27-5,D-Limonene
59897-93-7,"Cyclopropanecarboxylic acid, 3-(2,2-dichloroethenyl)-2,2-dimethyl-, methyl ester, (1R,3R)-rel-"
59897-94-8,"Methyl trans-3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropane-1-carboxylate"
599-64-4,p-Cumylphenol
59962-54-8,Hydroxytebuthiuron
60-51-5,Dimethoate
60-57-1,Dieldrin
60-80-0,Antipyrine
60-87-7,Promethazine
60090-47-3,Hydroxyacetochlor
60134-76-1,Ethenylestradiol 3-glucuronide
60142-96-3,1-(Aminomethyl)cyclohexaneacetic acid
60168-88-9,Fenarimol
60207-90-1,Propiconazole
604-75-1,Oxazepam
606-20-2,"2,6-Dinitrotoluene"
611-59-6,"1,7-Dimethylxanthine"
61520-53-4,2-[(2-Ethyl-6-methylphenyl)-amino]-1-propanol
61520-54-5,Metolachlor hydroxy morpholinone
618113-86-3,Acetochlor sulfinylacetic acid
61869-08-7,Paroxetine
6190-65-4,2-Chloro-4-isopropylamino-6-amino-s-triazine
61949-76-6,1rs Cis-Permethrin
61949-77-7,Transpermethrin
62-73-7,Dichlorvos
62-75-9,N-Nitrosodimethylamine
621-64-7,N-Nitrosodi-n-propylamine
626-43-7,"3,5-Dichloroaniline"
628324-79-8,sec-Alachlor oxanilic acid
62924-70-3,Flumetralin
63-05-8,4-Androstenedione
63-25-2,Carbaryl
634-03-7,Phendimetrazine
64902-72-3,Chlorsulfuron
6493-05-6,Pentoxifylline
651-45-6,Testosterone sulfate
65109-69-5,EPTC degradate R248722
65277-42-1,Ketoconazole
65600-62-6,"2,3,3-Trichloro-2-propene-1-sulfonic acid (sodium salt)"
657-24-9,Metformin
66230-04-4,Esfenvalerate
66332-96-5,Flutolanil
66357-35-5,Ranitidine
66747-12-4,4-Hydroxy molinate
66747-13-5,Carboxy molinate
668-34-8,Fentin
67-72-1,Hexachloroethane
67018-85-3,Norverapamil
67035-22-7,Dehydronifedipine
68-22-4,Norethisterone
68-88-2,Hydroxyzine
68085-85-8,Cyhalothrins
68127-59-3,cis-Cyhalothric acid
68359-37-5,Cyfluthrin
68694-11-1,Triflumizole
696617-92-2,Hydroxyfluometuron
6967-29-9,"2-Chloro-2',6'-diethylacetanilide"
7005-72-3,p-Chlorophenyl phenyl ether
70628-36-3,Propachlor OA
70776-03-3,Chlorinated naphthalenes
709-98-8,Propanil
72-20-8,Endrin
72-43-5,Methoxychlor
72-54-8,"p,p'-DDD"
72-55-9,"p,p'-DDE"
72-56-0,Ethylan
723-46-6,Sulfamethoxazole
72576-13-7,4-Hydroxyhexazinone A
72576-14-8,Hexazinone Transformation Product E
72585-88-7,Hexazinone Transformation Product C
7286-84-2,Chloramben methyl ester
7287-19-6,Prometryn
7313-54-4,Deisopropylhydroxyatrazine
732-11-6,Phosmet
736994-63-1,Cyantraniliprole
738-70-5,Trimethoprim
74222-97-2,Sulfometuron methyl
74223-64-6,Metsulfuron-methyl
7439-89-6,Iron
7439-96-5,Manganese
