CommonName,PublishedSortOrder,BioDataTaxonName,HybridFlag,BenchTaxonName,BenchTaxonReferenceCode,ITIS_TSN,ITIS_MatchCode,PublishedTaxonNameLevel,PublishedTaxonName,PublishedTaxonNameAuthority,ScientificName,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Superfamily,Family,Subfamily,Genus,Species,Subspecies,TaxonVersionNumber
brown bullhead,1000521,Ameiurus nebulosus,N,Ameiurus nebulosus,"",164043,exact match,Species,Ameiurus nebulosus,"(Lesueur, 1819)","Ameiurus nebulosus (Lesueur, 1819)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Siluriformes,"",Ictaluridae,"",Ameiurus,Ameiurus nebulosus,"",5.5
flat bullhead,1000522,Ameiurus platycephalus,N,Ameiurus platycephalus,"",164045,exact match,Species,Ameiurus platycephalus,"(Girard, 1859)","Ameiurus platycephalus (Girard, 1859)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Siluriformes,"",Ictaluridae,"",Ameiurus,Ameiurus platycephalus,"",5.5
forktail catfishes,1000524,Ictalurus,N,Ictalurus,"",163996,exact match,Genus,Ictalurus,"Rafinesque, 1820","Ictalurus Rafinesque, 1820",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Siluriformes,"",Ictaluridae,"",Ictalurus,"","",5.5
blue catfish,1000525,Ictalurus furcatus,N,Ictalurus furcatus,"",163997,exact match,Species,Ictalurus furcatus,"(Valenciennes in Cuvier and Valenciennes, 1840)","Ictalurus furcatus (Valenciennes in Cuvier and Valenciennes, 1840)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Siluriformes,"",Ictaluridae,"",Ictalurus,Ictalurus furcatus,"",5.5
channel catfish,1000528,Ictalurus punctatus,N,Ictalurus punctatus,"",163998,exact match,Species,Ictalurus punctatus,"(Rafinesque, 1818)","Ictalurus punctatus (Rafinesque, 1818)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Siluriformes,"",Ictaluridae,"",Ictalurus,Ictalurus punctatus,"",5.5
madtoms,1000529,Noturus,N,Noturus,"",164002,exact match,Genus,Noturus,"Rafinesque, 1818","Noturus Rafinesque, 1818",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Siluriformes,"",Ictaluridae,"",Noturus,"","",5.5
Ozark madtom,1000530,Noturus albater,N,Noturus albater,"",164006,exact match,Species,Noturus albater,"Taylor, 1969","Noturus albater Taylor, 1969",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Siluriformes,"",Ictaluridae,"",Noturus,Noturus albater,"",5.5
elegant madtom,1000532,Noturus elegans,N,Noturus elegans,"",164008,exact match,Species,Noturus elegans,"Taylor, 1969","Noturus elegans Taylor, 1969",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Siluriformes,"",Ictaluridae,"",Noturus,Noturus elegans,"",5.5
mountain madtom,1000533,Noturus eleutherus,N,Noturus eleutherus,"",164009,exact match,Species,Noturus eleutherus,"Jordan, 1877","Noturus eleutherus Jordan, 1877",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Siluriformes,"",Ictaluridae,"",Noturus,Noturus eleutherus,"",5.5
slender madtom,1000534,Noturus exilis,N,Noturus exilis,"",164010,exact match,Species,Noturus exilis,"Nelson, 1876","Noturus exilis Nelson, 1876",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Siluriformes,"",Ictaluridae,"",Noturus,Noturus exilis,"",5.5
checkered madtom,1000535,Noturus flavater,N,Noturus flavater,"",164011,exact match,Species,Noturus flavater,"Taylor, 1969","Noturus flavater Taylor, 1969",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Siluriformes,"",Ictaluridae,"",Noturus,Noturus flavater,"",5.5
yellowfin madtom,1000536,Noturus flavipinnis,N,Noturus flavipinnis,"",164012,exact match,Species,Noturus flavipinnis,"Taylor, 1969","Noturus flavipinnis Taylor, 1969",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Siluriformes,"",Ictaluridae,"",Noturus,Noturus flavipinnis,"",5.5
stonecat,1000537,Noturus flavus,N,Noturus flavus,"",164013,exact match,Species,Noturus flavus,"Rafinesque, 1818","Noturus flavus Rafinesque, 1818",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Siluriformes,"",Ictaluridae,"",Noturus,Noturus flavus,"",5.5
black madtom,1000538,Noturus funebris,N,Noturus funebris,"",164014,exact match,Species,Noturus funebris,"Gilbert and Swain in Gilbert, 1891","Noturus funebris Gilbert and Swain in Gilbert, 1891",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Siluriformes,"",Ictaluridae,"",Noturus,Noturus funebris,"",5.5
Carolina madtom,1000539,Noturus furiosus,N,Noturus furiosus,"",164015,exact match,Species,Noturus furiosus,"Jordan and Meek in Jordan, 1889","Noturus furiosus Jordan and Meek in Jordan, 1889",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Siluriformes,"",Ictaluridae,"",Noturus,Noturus furiosus,"",5.5
tadpole madtom,1000541,Noturus gyrinus,N,Noturus gyrinus,"",164003,exact match,Species,Noturus gyrinus,"(Mitchill, 1817)","Noturus gyrinus (Mitchill, 1817)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Siluriformes,"",Ictaluridae,"",Noturus,Noturus gyrinus,"",5.5
margined madtom,1000543,Noturus insignis,N,Noturus insignis,"",164004,exact match,Species,Noturus insignis,"(Richardson, 1836)","Noturus insignis (Richardson, 1836)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Siluriformes,"",Ictaluridae,"",Noturus,Noturus insignis,"",5.5
speckled madtom,1000545,Noturus leptacanthus,N,Noturus leptacanthus,"",164019,exact match,Species,Noturus leptacanthus,"Jordan, 1877","Noturus leptacanthus Jordan, 1877",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Siluriformes,"",Ictaluridae,"",Noturus,Noturus leptacanthus,"",5.5
brindled madtom,1000546,Noturus miurus,N,Noturus miurus,"",164020,exact match,Species,Noturus miurus,"Jordan, 1877","Noturus miurus Jordan, 1877",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Siluriformes,"",Ictaluridae,"",Noturus,Noturus miurus,"",5.5
freckled madtom,1000548,Noturus nocturnus,N,Noturus nocturnus,"",164005,exact match,Species,Noturus nocturnus,"Jordan and Gilbert, 1886","Noturus nocturnus Jordan and Gilbert, 1886",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Siluriformes,"",Ictaluridae,"",Noturus,Noturus nocturnus,"",5.5
flathead catfish,1000556,Pylodictis olivaris,N,Pylodictis olivaris,"",164029,exact match,Species,Pylodictis olivaris,"(Rafinesque, 1818)","Pylodictis olivaris (Rafinesque, 1818)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Siluriformes,"",Ictaluridae,"",Pylodictis,Pylodictis olivaris,"",5.5
walking catfish,1000563,Clarias batrachus,N,Clarias batrachus,"",164120,exact match,Species,Clarias batrachus,"(Linnaeus, 1758)","Clarias batrachus (Linnaeus, 1758)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Siluriformes,"",Clariidae,"",Clarias,Clarias batrachus,"",5.5
whitespotted clarias,1000564,Clarias fuscus,N,Clarias fuscus,"",164122,exact match,Species,Clarias fuscus,"(Lacepède, 1803)","Clarias fuscus (Lacepède, 1803)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Siluriformes,"",Clariidae,"",Clarias,Clarias fuscus,"",5.5
suckermouth catfish,1000572,Hypostomus plecostomus,N,Hypostomus plecostomus,"",164342,exact match,Species,Hypostomus plecostomus,"(Linnaeus, 1758)","Hypostomus plecostomus (Linnaeus, 1758)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Siluriformes,"",Loricariidae,Hypostominae,Hypostomus,Hypostomus plecostomus,"",5.5
vermiculated sailfin catfish,1000574,Pterygoplichthys disjunctivus,N,Pterygoplichthys disjunctivus,"",680351,exact match,Species,Pterygoplichthys disjunctivus,"(Weber, 1991)","Pterygoplichthys disjunctivus (Weber, 1991)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Ostariophysi,Siluriformes,"",Loricariidae,Hypostominae,Pterygoplichthys,Pterygoplichthys disjunctivus,"",5.5
grass pickerels,1000579,Esox americanus,N,Esox americanus,"",162140,exact match,Species,Esox americanus,"Gmelin, 1789","Esox americanus Gmelin, 1789",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Protacanthopterygii,Esociformes,"",Esocidae,"",Esox,Esox americanus,"",5.5
redfin pickerel,1000580,Esox americanus americanus,N,Esox americanus americanus,"",162141,exact match,Subspecies,Esox americanus americanus,"Gmelin, 1789","Esox americanus americanus Gmelin, 1789",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Protacanthopterygii,Esociformes,"",Esocidae,"",Esox,Esox americanus,Esox americanus americanus,5.5
grass pickerel,1000581,Esox americanus vermiculatus,N,Esox americanus vermiculatus,"",162142,exact match,Subspecies,Esox americanus vermiculatus,"Lesueur, 1846","Esox americanus vermiculatus Lesueur, 1846",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Protacanthopterygii,Esociformes,"",Esocidae,"",Esox,Esox americanus,Esox americanus vermiculatus,5.5
northern pike,1000582,Esox lucius,N,Esox lucius,"",162139,exact match,Species,Esox lucius,"Linnaeus, 1758","Esox lucius Linnaeus, 1758",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Protacanthopterygii,Esociformes,"",Esocidae,"",Esox,Esox lucius,"",5.5
muskellunge,1000583,Esox masquinongy,N,Esox masquinongy,"",162144,exact match,Species,Esox masquinongy,"Mitchill, 1824","Esox masquinongy Mitchill, 1824",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Protacanthopterygii,Esociformes,"",Esocidae,"",Esox,Esox masquinongy,"",5.5
chain pickerel,1000584,Esox niger,N,Esox niger,"",162143,exact match,Species,Esox niger,"Lesueur, 1818","Esox niger Lesueur, 1818",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Protacanthopterygii,Esociformes,"",Esocidae,"",Esox,Esox niger,"",5.5
mudminnows,1000585,Umbridae,N,Umbridae,"",162146,exact match,Family,Umbridae,"",Umbridae,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Protacanthopterygii,Esociformes,"",Umbridae,"","","","",5.5
central mudminnow,1000591,Umbra limi,N,Umbra limi,"",162153,exact match,Species,Umbra limi,"(Kirtland, 1841)","Umbra limi (Kirtland, 1841)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Protacanthopterygii,Esociformes,"",Umbridae,"",Umbra,Umbra limi,"",5.5
eastern mudminnow,1000592,Umbra pygmaea,N,Umbra pygmaea,"",162148,exact match,Species,Umbra pygmaea,"(DeKay, 1842)","Umbra pygmaea (DeKay, 1842)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Protacanthopterygii,Esociformes,"",Umbridae,"",Umbra,Umbra pygmaea,"",5.5
rainbow smelt,1000599,Osmerus mordax,N,Osmerus mordax,"",162041,exact match,Species,Osmerus mordax,"(Mitchill, 1814)","Osmerus mordax (Mitchill, 1814)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Protacanthopterygii,Osmeriformes,Osmeroidea,Osmeridae,"",Osmerus,Osmerus mordax,"",5.5
trouts,1000605,Salmonidae,N,Salmonidae,"",161931,exact match,Family,Salmonidae,"",Salmonidae,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Protacanthopterygii,Salmoniformes,"",Salmonidae,"","","","",5.5
mountain whitefish,1000628,Prosopium williamsoni,N,Prosopium williamsoni,"",162009,exact match,Species,Prosopium williamsoni,"(Girard, 1856)","Prosopium williamsoni (Girard, 1856)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Protacanthopterygii,Salmoniformes,"",Salmonidae,Coregoninae,Prosopium,Prosopium williamsoni,"",5.5
tiger trout,1000631,Salmo trutta x Salvelinus fontinalis,Y,Salmo trutta x Salvelinus fontinalis,"",623286,exact match,Subfamily,Salmoninae,"",Salmoninae,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Protacanthopterygii,Salmoniformes,"",Salmonidae,Salmoninae,"","","",5.5
Pacific salmon,1000633,Oncorhynchus,N,Oncorhynchus,"",161974,exact match,Genus,Oncorhynchus,"Suckley, 1861","Oncorhynchus Suckley, 1861",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Protacanthopterygii,Salmoniformes,"",Salmonidae,Salmoninae,Oncorhynchus,"","",5.5
rainbow x cutthroat,1000634,Oncorhynchus mykiss x Oncorhynchus clarki,Y,Oncorhynchus mykiss x Oncorhynchus clarki,"",161974,exact match,Genus,Oncorhynchus,"Suckley, 1861","Oncorhynchus Suckley, 1861",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Protacanthopterygii,Salmoniformes,"",Salmonidae,Salmoninae,Oncorhynchus,"","",5.5
cutthroat trout,1000635,Oncorhynchus clarkii,N,Oncorhynchus clarkii,"",161983,exact match,Species,Oncorhynchus clarkii,"(Richardson, 1836)","Oncorhynchus clarkii (Richardson, 1836)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Protacanthopterygii,Salmoniformes,"",Salmonidae,Salmoninae,Oncorhynchus,Oncorhynchus clarkii,"",5.5
coho salmon,1000640,Oncorhynchus kisutch,N,Oncorhynchus kisutch,"",161977,exact match,Species,Oncorhynchus kisutch,"(Walbaum, 1792)","Oncorhynchus kisutch (Walbaum, 1792)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Protacanthopterygii,Salmoniformes,"",Salmonidae,Salmoninae,Oncorhynchus,Oncorhynchus kisutch,"",5.5
rainbow trout,1000641,Oncorhynchus mykiss,N,Oncorhynchus mykiss,"",161989,exact match,Species,Oncorhynchus mykiss,"(Walbaum, 1792)","Oncorhynchus mykiss (Walbaum, 1792)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Protacanthopterygii,Salmoniformes,"",Salmonidae,Salmoninae,Oncorhynchus,Oncorhynchus mykiss,"",5.5
sockeye salmon,1000643,Oncorhynchus nerka,N,Oncorhynchus nerka,"",161979,exact match,Species,Oncorhynchus nerka,"(Walbaum in Artedi, 1792)","Oncorhynchus nerka (Walbaum in Artedi, 1792)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Protacanthopterygii,Salmoniformes,"",Salmonidae,Salmoninae,Oncorhynchus,Oncorhynchus nerka,"",5.5
chinook salmon,1000644,Oncorhynchus tshawytscha,N,Oncorhynchus tshawytscha,"",161980,exact match,Species,Oncorhynchus tshawytscha,"(Walbaum in Artedi, 1792)","Oncorhynchus tshawytscha (Walbaum in Artedi, 1792)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Protacanthopterygii,Salmoniformes,"",Salmonidae,Salmoninae,Oncorhynchus,Oncorhynchus tshawytscha,"",5.5
Atlantic salmon,1000646,Salmo salar,N,Salmo salar,"",161996,exact match,Species,Salmo salar,"Linnaeus, 1758","Salmo salar Linnaeus, 1758",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Protacanthopterygii,Salmoniformes,"",Salmonidae,Salmoninae,Salmo,Salmo salar,"",5.5
brown trout,1000647,Salmo trutta,N,Salmo trutta,"",161997,exact match,Species,Salmo trutta,"Linnaeus, 1758","Salmo trutta Linnaeus, 1758",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Protacanthopterygii,Salmoniformes,"",Salmonidae,Salmoninae,Salmo,Salmo trutta,"",5.5
bull trout,1000650,Salvelinus confluentus,N,Salvelinus confluentus,"",162004,exact match,Species,Salvelinus confluentus,"(Suckley, 1859)","Salvelinus confluentus (Suckley, 1859)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Protacanthopterygii,Salmoniformes,"",Salmonidae,Salmoninae,Salvelinus,Salvelinus confluentus,"",5.5
brook trout,1000651,Salvelinus fontinalis,N,Salvelinus fontinalis,"",162003,exact match,Species,Salvelinus fontinalis,"(Mitchill, 1814)","Salvelinus fontinalis (Mitchill, 1814)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Protacanthopterygii,Salmoniformes,"",Salmonidae,Salmoninae,Salvelinus,Salvelinus fontinalis,"",5.5
Dolly Varden,1000652,Salvelinus malma,N,Salvelinus malma,"",162000,exact match,Species,Salvelinus malma,"(Walbaum in Artedi, 1792)","Salvelinus malma (Walbaum in Artedi, 1792)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Protacanthopterygii,Salmoniformes,"",Salmonidae,Salmoninae,Salvelinus,Salvelinus malma,"",5.5
swampfish,1000663,Chologaster cornuta,N,Chologaster cornuta,"",164390,exact match,Species,Chologaster cornuta,"Agassiz, 1853","Chologaster cornuta Agassiz, 1853",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Paracanthopterygii,Percopsiformes,"",Amblyopsidae,"",Chologaster,Chologaster cornuta,"",5.5
spring cavefish,1000665,Forbesichthys agassizii,N,Forbesichthys agassizii,"",201968,exact match,Species,Forbesichthys agassizii,"(Putnam, 1872)","Forbesichthys agassizii (Putnam, 1872)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Paracanthopterygii,Percopsiformes,"",Amblyopsidae,"",Forbesichthys,Forbesichthys agassizii,"",5.5
pirate perch,1000672,Aphredoderus sayanus,N,Aphredoderus sayanus,"",164405,exact match,Species,Aphredoderus sayanus,"(Gilliams, 1824)","Aphredoderus sayanus (Gilliams, 1824)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Paracanthopterygii,Percopsiformes,"",Aphredoderidae,"",Aphredoderus,Aphredoderus sayanus,"",5.5
trout-perch,1000675,Percopsis omiscomaycus,N,Percopsis omiscomaycus,"",164409,exact match,Species,Percopsis omiscomaycus,"(Walbaum, 1792)","Percopsis omiscomaycus (Walbaum, 1792)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Paracanthopterygii,Percopsiformes,"",Percopsidae,"",Percopsis,Percopsis omiscomaycus,"",5.5
sand roller,1000676,Percopsis transmontana,N,Percopsis transmontana,"",164410,exact match,Species,Percopsis transmontana,"(Eigenmann and Eigenmann in Eigenmann, 1892)","Percopsis transmontana (Eigenmann and Eigenmann in Eigenmann, 1892)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Paracanthopterygii,Percopsiformes,"",Percopsidae,"",Percopsis,Percopsis transmontana,"",5.5
burbot,1000681,Lota lota,N,Lota lota,"",164725,exact match,Species,Lota lota,"(Linnaeus, 1758)","Lota lota (Linnaeus, 1758)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Paracanthopterygii,Gadiformes,"",Gadidae,Lotinae,Lota,Lota lota,"",5.5
gray mullets,1000684,Mugil,N,Mugil,"",170334,exact match,Genus,Mugil,"Linnaeus, 1758","Mugil Linnaeus, 1758",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Acanthopterygii,Mugiliformes,"",Mugilidae,"",Mugil,"","",5.5
striped mullet,1000685,Mugil cephalus,N,Mugil cephalus,"",170335,exact match,Species,Mugil cephalus,"Linnaeus, 1758","Mugil cephalus Linnaeus, 1758",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Acanthopterygii,Mugiliformes,"",Mugilidae,"",Mugil,Mugil cephalus,"",5.5
brook silversides,1000689,Labidesthes,N,Labidesthes,"",166015,exact match,Genus,Labidesthes,"Cope, 1870","Labidesthes Cope, 1870",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Acanthopterygii,Atheriniformes,"",Atherinopsidae,Menidiinae,Labidesthes,"","",5.5
brook silverside,1000690,Labidesthes sicculus,N,Labidesthes sicculus,"",166016,exact match,Species,Labidesthes sicculus,"(Cope, 1865)","Labidesthes sicculus (Cope, 1865)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Acanthopterygii,Atheriniformes,"",Atherinopsidae,Menidiinae,Labidesthes,Labidesthes sicculus,"",5.5
rough silverside,1000692,Membras martinica,N,Membras martinica,"",165989,exact match,Species,Membras martinica,"(Valenciennes in Cuvier and Valenciennes, 1835)","Membras martinica (Valenciennes in Cuvier and Valenciennes, 1835)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Acanthopterygii,Atheriniformes,"",Atherinopsidae,Menidiinae,Membras,Membras martinica,"",5.5
inland silverside,1000694,Menidia beryllina,N,Menidia beryllina,"",165993,exact match,Species,Menidia beryllina,"(Cope, 1867)","Menidia beryllina (Cope, 1867)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Acanthopterygii,Atheriniformes,"",Atherinopsidae,Menidiinae,Menidia,Menidia beryllina,"",5.5
silversides,1000698,Atherinidae,N,Atherinidae,"",165984,exact match,Family,Atherinidae,"",Atherinidae,Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Acanthopterygii,Atheriniformes,"",Atherinidae,"","","","",5.5
Atlantic needlefish,1000702,Strongylura marina,N,Strongylura marina,"",165551,exact match,Species,Strongylura marina,"(Walbaum, 1792)","Strongylura marina (Walbaum, 1792)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Acanthopterygii,Beloniformes,Scomberesocoidea,Belonidae,"",Strongylura,Strongylura marina,"",5.5
topminnows,1000707,Fundulus,N,Fundulus,"",165644,exact match,Genus,Fundulus,"Lacepède, 1803","Fundulus Lacepède, 1803",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Acanthopterygii,Cyprinodontiformes,"",Fundulidae,"",Fundulus,"","",5.5
stippled studfish,1000709,Fundulus bifax,N,Fundulus bifax,"",165671,exact match,Species,Fundulus bifax,"Cashner and Rogers in Cashner, Rogers and Grady, 1988","Fundulus bifax Cashner and Rogers in Cashner, Rogers and Grady, 1988",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Acanthopterygii,Cyprinodontiformes,"",Fundulidae,"",Fundulus,Fundulus bifax,"",5.5
northern studfish,1000710,Fundulus catenatus,N,Fundulus catenatus,"",165660,exact match,Species,Fundulus catenatus,"(Storer, 1846)","Fundulus catenatus (Storer, 1846)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Acanthopterygii,Cyprinodontiformes,"",Fundulidae,"",Fundulus,Fundulus catenatus,"",5.5
golden topminnow,1000711,Fundulus chrysotus,N,Fundulus chrysotus,"",165652,exact match,Species,Fundulus chrysotus,"(Günther, 1866)","Fundulus chrysotus (Günther, 1866)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Acanthopterygii,Cyprinodontiformes,"",Fundulidae,"",Fundulus,Fundulus chrysotus,"",5.5
banded killifish,1000713,Fundulus diaphanus,N,Fundulus diaphanus,"",165646,exact match,Species,Fundulus diaphanus,"(Lesueur, 1817)","Fundulus diaphanus (Lesueur, 1817)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Acanthopterygii,Cyprinodontiformes,"",Fundulidae,"",Fundulus,Fundulus diaphanus,"",5.5
northern starhead topminnow,1000714,Fundulus dispar,N,Fundulus dispar,"",165672,exact match,Species,Fundulus dispar,"(Agassiz, 1854)","Fundulus dispar (Agassiz, 1854)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Acanthopterygii,Cyprinodontiformes,"",Fundulidae,"",Fundulus,Fundulus dispar,"",5.5
mummichog,1000718,Fundulus heteroclitus,N,Fundulus heteroclitus,"",165647,exact match,Species,Fundulus heteroclitus,"(Linnaeus, 1766)","Fundulus heteroclitus (Linnaeus, 1766)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Acanthopterygii,Cyprinodontiformes,"",Fundulidae,"",Fundulus,Fundulus heteroclitus,"",5.5
lined topminnow,1000721,Fundulus lineolatus,N,Fundulus lineolatus,"",165662,exact match,Species,Fundulus lineolatus,"(Agassiz, 1854)","Fundulus lineolatus (Agassiz, 1854)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Acanthopterygii,Cyprinodontiformes,"",Fundulidae,"",Fundulus,Fundulus lineolatus,"",5.5
spotfin killifish,1000722,Fundulus luciae,N,Fundulus luciae,"",165648,exact match,Species,Fundulus luciae,"(Baird, 1855)","Fundulus luciae (Baird, 1855)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Acanthopterygii,Cyprinodontiformes,"",Fundulidae,"",Fundulus,Fundulus luciae,"",5.5
striped killifish,1000723,Fundulus majalis,N,Fundulus majalis,"",165649,exact match,Species,Fundulus majalis,"(Walbaum, 1792)","Fundulus majalis (Walbaum, 1792)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Acanthopterygii,Cyprinodontiformes,"",Fundulidae,"",Fundulus,Fundulus majalis,"",5.5
blackstripe topminnow,1000724,Fundulus notatus,N,Fundulus notatus,"",165663,exact match,Species,Fundulus notatus,"(Rafinesque, 1820)","Fundulus notatus (Rafinesque, 1820)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Acanthopterygii,Cyprinodontiformes,"",Fundulidae,"",Fundulus,Fundulus notatus,"",5.5
blackspotted topminnow,1000726,Fundulus olivaceus,N,Fundulus olivaceus,"",165655,exact match,Species,Fundulus olivaceus,"(Storer, 1845)","Fundulus olivaceus (Storer, 1845)",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Acanthopterygii,Cyprinodontiformes,"",Fundulidae,"",Fundulus,Fundulus olivaceus,"",5.5
speckled killifish,1000729,Fundulus rathbuni,N,Fundulus rathbuni,"",165665,exact match,Species,Fundulus rathbuni,"Jordan and Meek in Jordan, 1889","Fundulus rathbuni Jordan and Meek in Jordan, 1889",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Acanthopterygii,Cyprinodontiformes,"",Fundulidae,"",Fundulus,Fundulus rathbuni,"",5.5
plains topminnow,1000730,Fundulus sciadicus,N,Fundulus sciadicus,"",165666,exact match,Species,Fundulus sciadicus,"Cope, 1865","Fundulus sciadicus Cope, 1865",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Acanthopterygii,Cyprinodontiformes,"",Fundulidae,"",Fundulus,Fundulus sciadicus,"",5.5
Seminole killifish,1000731,Fundulus seminolis,N,Fundulus seminolis,"",165667,exact match,Species,Fundulus seminolis,"Girard, 1859","Fundulus seminolis Girard, 1859",Chordata,Vertebrata,Osteichthyes,Actinopterygii,Neopterygii,Acanthopterygii,Cyprinodontiformes,"",Fundulidae,"",Fundulus,Fundulus seminolis,"",5.5
